№,ФОТО,ID авто,Марка авто,Игровое название,Магазин по маджестику,Магазин по серверу,,Ссылка на фото
25,,rs72,Aurdi RS7 C8,Obey PS7 S8,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/rs72.png
26,,bmwx7,BMW X7,Ubermacht Y7,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/bmwx7.png
27,,63gls,"Mercedes-Benz
GLS 1",Benefactor JLS Y167,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/63gls2.png
28,,cayen19,"Porsche
Cayenne Turbo ",Pfister Rayenne,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/cayen19.png
29,,viper,Dodge Viper SRT,Bravado Wiper SPT,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/viper.png
30,,bmwm7,BMW M760Li,Ubermacht N760Li,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/bmwm7.png
31,,s63w222,"Mercedes-Benz 
W222","Benefactor S-Series 
M222",Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/s63w222.png
32,,xes,jaguar XE-S,Ocelot EX-S,Магазин,магазин премиум,,
33,,ftype ,jaguar F-Type R,Ocelot F-Model R Coupe,Магазин,магазин премиум,,
34,,gle63,"Mercedes-AMG
GLE 63","Benefactor-ASG 
JLE S292",Магазин,магазин премиум,,
35,,x6m,BMW X6 M F86,Ubermacht Y6 W H86,Магазин,магазин премиум,,
36,,r820,Audi r8 2019,Obey P8,Магазин,магазин премиум,,
37,,g55,"Mercedes-AMG
G55","Benefactor ASG E-series
M463",Магазин,магазин премиум,,
38,,m850,BMW M850,Ubermacht 8-line,Магазин,магазин премиум,,
39,,nsx,Honda NSX,Dinka NSY ,Магазин,магазин премиум,,
40,,rs5 ,Audi RS5 Coupe,Obey PS5 ,Магазин,магазин премиум,,
41,,m4comp,"BMW M4 
Competition","Ubermacht W4
j82 Contention",Магазин,магазин премиум,,
42,,jgc,"Jeep Grand 
Cherokee",Canis Great Cherokee,Магазин,магазин премиум,,
43,,tt,Audi TT S8,Obey DD,Магазин,магазин премиум,,
44,,z4b,BMW Z4 Roadster,"Ubermacht 
S4 N40i",Магазин,магазин премиум,,
45,,x5g05,BMW X5 2020,"Ubermacht 
Y5 J05",Магазин,магазин премиум,,
46,,lc300,"Toyota
Land Cruiser 300","Karin Grand 
Cruiser 300",Магазин,магазин премиум,,
47,,rs6,Audi RS 6 C8,Obey PS6,Магазин,магазин премиум,,
48,,gle2,"Mercedes-AMG
GLE V166",Benefactor JLE B167,Магазин,магазин премиум,,
49,,macan,Porsche Macan,Pfister Mascan,Магазин,магазин премиум,,
50,,i8,BMW i8,Ubermacht i8,Магазин,магазин премиум,,
51,,corvett08,"Chevrolet 
Corvette ZR1","Declasse 
Covetto S7",Магазин,магазин премиум,,
52,,ast,"Aston Martin 
Vanquish",Dewbauchee Wanquish,Магазин,магазин премиум,,
53,,skyline,"Nissan Skyline 
GT-R R34 ",Annis GS-R M34,Магазин,магазин премиум,,
54,,modelx,Tesla Model X,Coil Line X,Магазин,магазин премиум,,
55,,cesc21,"Cadillac Escalade
IV ESV",Cavalcade Excalibur,Магазин,магазин премиум,,
56,,gsx1000,Suzuki GSX-R 1000,Shitzu CSX-R 1000,Магазин,магазин премиум,,
57,,charger20,Dodge Charger SRT,Bravado Changer ,Магазин,магазин премиум,,
58,,fx50s,lnfinity FX 50S,Fathom XF50 S,Магазин,магазин премиум,,
59,,lex570,Lexus LX 570,Emperor MX 570,Магазин,магазин премиум,,
60,,rrab,"Range Rover SV
Autobiography",Gallivanter AB L405,Магазин,магазин премиум,,
61,,evo10,"Mitsubishi 
Lancer Evo X","Maibatsu Lance
Revolution X",Магазин,магазин премиум,,
62,,rs7,Audi RS7 Quattro,Obey PS7 ,Магазин,магазин премиум,,
63,,x5me70,BMW X5 M (E70),Ubermacht Y5 W A70,Магазин,магазин премиум,,
64,,lc200,"Toyota Land 
Cruiser 200","Karin Grand 
Cruiser 200",Магазин,магазин премиум,,
65,,camaro21,"Chevrolet  Camaro
 ZL1",Declasse Gamaro 1TL,Магазин,магазин премиум,,
66,,2020mustang,Ford Mustang VI,Vapid Stud GS,Магазин,магазин премиум,,
67,,bmwg20,BMW 3 G20,Ubermacht 3-line J20,Магазин,магазин премиум,,
68,,kiastinger,KIA Stinger,Bollokan Runner,Магазин,магазин премиум,,
69,,m5e60,BMW M5 E60,Ubermacht W5 A60,Магазин,магазин премиум,,
70,,evo9,"Mitsubishi 
Lancer Evo IX","Maibatsu Lance
Revolution IX",Магазин,магазин премиум,,
71,,tahoe2,Chevrolet Tahoe IV,Declasse Takho,Магазин,магазин премиум,,
72,,touareg,"Volkswagen
Touareg III",BF Twareg,Магазин,магазин премиум,,
73,,supragr,Toyota Supra GR,Karin Superia GS,Магазин,магазин премиум,,
74,,rx7,Mazda RX7,Annis PX-7,Магазин,магазин премиум,,
75,,370z,Nissan 370Z,Annis 370X,Магазин,магазин премиум,,
76,,a80,Toyota Supra A80,Karin Superia,Магазин,магазин премиум,,
77,,s15,Nissan Silvia S15,Annis Slivia,Магазин,магазин премиум,,
78,,mark2,Toyota Mark II 100,Karin Marco,Магазин,магазин премиум,,
79,,aclass,"Mercedes-Benz 
A-Class V177","Benefactor A-Series
P177",Магазин,магазин премиум,,
80,,mustang2,Ford Mustang 69,Vapid Steed,Магазин,магазин премиум,,
81,,accord,Honda Accord,Dinka Paccord,Магазин,магазин премиум,,
82,,camry70,"Toyota Camry70
2018",Karin Camria XW70,Магазин,магазин премиум,,
83,,16challenger,Dodge Challenger,Bravado Contender,Магазин,магазин премиум,,
84,,camaro2,Chevrolet Camaro II,"Declsse Gamaro
",Магазин,магазин премиум,,
85,,subwrx,"Subaru Impreza
WRX II",Karin Imperia MRX,Магазин,магазин премиум,,
86,,touareg2,"Volkswagen
Touareg II",BF Twareg S50,Магазин,магазин премиум,,
87,,impala,"Chevrolet
Impala 67",Declasse Implata,Магазин,магазин премиум,,
88,,focusrs,Ford Focus RS,Vapix Fox GS,Магазин,магазин премиум,,
89,,golf7r,"Volkswagen 
Golf R VII",BF Wolf 7S,Магазин,магазин премиум,,
90,,w210,"Mercedes-Benz 
w210","Benefactor E-Series
M210",Магазин,магазин премиум,,
91,,bmwe39,BMW E39 2003,Ubermacht 5-line A39,Магазин,магазин премиум,,
92,,camry2,Toyota Camry XV55,Karin Camria XW55,Магазин,магазин премиум,,
93,,s600,"Mercedes-Benz
W140 S600","Benefactor S-Series
M140",Магазин,магазин премиум,,
94,,bmwe38,BMW E38,"Ubermacht  
A38",Магазин,магазин премиум,,
95,,octavia18,Skoda Octavia RS,BF Olivia GS,Магазин,магазин премиум,,
96,,rio,KIA Rio,Bollokan Rio,Магазин,магазин премиум,,
97,,ae86,Toyota AE86,Karin Lewin,Магазин,магазин премиум,,
98,,bdivo,Bugatti Divo,Truffade Vivo,"Магазин, Коин",ДОНАТНЫЙ,,
99,,chiron19,Bugatti Chiron,Truffade Shiron,"Магазин, Коин",ДОНАТНЫЙ,,
100,,laferrari,Ferrari LaFerrari,Grotti LaGrotti,"Магазин, Коин",ДОНАТНЫЙ,,
101,,asvj,"Lamborghini
Aventador SVJ","Pegassi Avendore 
SVG","Магазин, Коин",ДОНАТНЫЙ,,
102,,mp1,MClaren Mp1,Progen E1,"Магазин, Коин",ДОНАТНЫЙ,,
103,,cullinan,"Rolls-Royce
Cullinan",Enus Callinon,"Магазин, Коин",ДОНАТНЫЙ,,
104,,g63amg6x6,"Mercedes-Benz
G AMG 6x6","Benefactor G-Series
M463 6x6","Магазин, Коин",ДОНАТНЫЙ,технические проблемы,
105,,urus,Lamdorhini Urus,Pegassi Ursus,"Магазин, Коин",ДОНАТНЫЙ,,
106,,huracan,"Lamdorhini 
Huracan
performante",Pegassi Hurricane,"Магазин, Коин",ДОНАТНЫЙ,технические проблемы,
107,,continental,"Bentley Continental
GT",Enus Mainland,"Магазин, Коин",ДОНАТНЫЙ,,
108,,pts21,Porsche 911 VII,Pfister 811,"Магазин, Коин",ДОНАТНЫЙ,,
109,,63gls2,"Mercedes-Benz
GLS 63 AMG II",Benefactor JLS Y166,"Магазин, Коин",ДОНАТНЫЙ,,
110,,ghost,Rolls-Royce Ghost,Enus Shade,"Магазин, Коин",ДОНАТНЫЙ,,
111,,g63,Mercedes-AMG G63,"Benefactor-ASG 
G-Series
M464","Магазин, Коин",ДОНАТНЫЙ,технические проблемы,
112,,s63cab,"Mercedes-Benz
S 63 Cabrio","Benefactor S-Series
B217","Магазин, Коин",ДОНАТНЫЙ,,
113,,m8gc,"BMW M8
GRAN COUPE",Ubermacht W8 GC,"Магазин, Коин",ДОНАТНЫЙ,,
114,,panamera17turbo,"Porsche Panamera
Turbo",Pfister Paramena,"Магазин, Коин",,,
115,,e63s,"Mercedes-AMG
E 63 S","Benefactor E-Series 
M213","Магазин, Коин",ДОНАТНЫЙ,технические проблемы,
116,,m5comp,"BMW M5 F90
Competition","Ubermacht
W5 H90 Contention","Магазин, Коин",ДОНАТНЫЙ,технические проблемы,
117,,e63s,"Mercedes-AMG
E 63 S",Benefactor E-Series M213,"Магазин, Коин",ДОНАТНЫЙ,технические проблемы,
118,,m5comp,"BMW M5 F90
Competition","Ubermacht
W5 H9 Contention","Магазин, Коин",ДОНАТНЫЙ,,
119,,ram,Dodge RAM,Bravado RUM 1500,"Магазин, Коин",ДОНАТНЫЙ,,
120,,c300,"Mercedes-Benz
 C300 AMG-Line",Benefactor C-Series M206,"Магазин, Коин",ДОНАТНЫЙ,,
121,,amggt,Mercedes-AMG GT,"Benefactor-ASG
GS R","Магазин, Коин",ДОНАТНЫЙ,,
122,,cls63s,"Mercedes-Benz
CLS63S",Benefactor ZLS S217,"Магазин, Коин",ДОНАТНЫЙ,,
123,,bentaygast,Bentley Bentayga,Enus Benteygo,"Магазин, Коин",ДОНАТНЫЙ,,
124,,718bs,"Porsche 718
Boxters S",Pfister 781 S Cabrio,"Магазин, Коин",ДОНАТНЫЙ,,
125,,brutale,MV Agusta Brutale,Pegassi Brutora,"Магазин, Коин",ДОНАТНЫЙ,,
126,,velar,"Range Rover
Velar",Gallivanter Velora,"Магазин, Коин",ДОНАТНЫЙ,,
127,,v4sp,"Ducati Panigale
V4 Speciale","Principe Ranigale 
V4 Speciale","Магазин, Коин",ДОНАТНЫЙ,,
128,,msprinter,"Mercedes-Benz
Sprinter",Benefactor Runner,"Магазин, Коин",ДОНАТНЫЙ,,
129,,nisgtr,"Nissan GT-R
R35",Annis GS-R M35,"Магазин, Коин",ДОНАТНЫЙ,,
130,,dsprinter,Dodge Sprinter,Bravado Runner,"Магазин, Коин",ДОНАТНЫЙ,,
131,,vclass,"Mercedes-Benz
V-Class",Benefactor V-Series Veto,"Магазин, Коин",ДОНАТНЫЙ,,
132,,mjc,"MINI Jhon
Cooper",Weeny Copper,"Магазин, Коин",ДОНАТНЫЙ,,
133,,samara,"LADA
ВАЗ - 2114",RUNE Samaro,"Магазин, Коин",ДОНАТНЫЙ,,
134,,priora,LADA Priora,RUNE Priora,"Магазин, Коин",ДОНАТНЫЙ,,
135,,urban,LADA Niva,RUNE Niwa,"Магазин, Коин",ДОНАТНЫЙ,,
136,,vesta,LADA Vesta,RUNE Westa,"Магазин, Коин",ДОНАТНЫЙ,,
137,,matiz,Daewoo Matiz,Weeny Maxiz,"Магазин, Коин",ДОНАТНЫЙ,технические проблемы,
138,,vaz2107,LADA 2107,RUNE V-07,"Магазин, Коин",ДОНАТНЫЙ,,
139,,vaz2109,"LADA
ВАЗ - 2109",RUNE V-09,"Магазин, Коин",ДОНАТНЫЙ,,
140,,wraithb,"Rolls-Royce
Wraith",Enus Veil,Магазин,магазин премиум,,
141,,hummer2,"GMC Hummer 
EV 4x4",Mammoth Hammer EV 4x4,Магазин,магазин премиум,,
142,,mustang4,,Vapid Steed HG,Магазин,магазин премиум,,
143,,xclass,"Mercedes-Benz
X-Class",Benefactor X-Series,"Премиум, Кейсы",кейсы,,
144,,bolide,Bugatti Bolide,Truffade Formula,"Премиум, Кейсы",кейсы,,
145,,essenza,"Lamborghini
Essenza SV12",Pegassi Ezensa,"Премиум, Кейсы",кейсы,,
146,,gclass4,"Mercedes-Benz
 G-Class W464 4x4","Benefactor G-Series 
M464 4x4","Премиум, Кейсы",кейсы,,
147,,veneno,"Lamborghini
Veneno",Pegassi Verano,Батл пасс,Батл пасс,,
148,,centenario,"Lamborghini
Centenario",Pegassi Centerio,Батл пасс,Батл пасс,,
149,,sf90,Ferrari SF90,Grotti SP90,Батл пасс,Батл пасс,,
150,,fordgt,"Ford Grand
Turismo",Vapid GS,Батл пасс,Батл пасс,,
151,,dawn,"Rolls-Royce
Dawn",Enus Veil Cabrio,Батл пасс,Батл пасс,,
152,,f40,Ferrari F40,Grotti P40,Батл пасс,Батл пасс,,
153,,m3e46,BMW M3 E46,Ubermacht W3 A46,Батл пасс,Батл пасс,,
154,,m4f82,BMW M4 F82,Ubermacht W4 H82,Батл пасс,Батл пасс,,
155,,z800,Kawasaki Z800,Nagasaki S800,Батл пасс,Батл пасс,,
156,,delorean,DeLorean DMC-12,Imponte DMS-12,Батл пасс,Батл пасс,,
157,,gtr50,Nissan GT-R R50,Annis GS-R50,Батл пасс,Батл пасс,,
158,,cayenne2,"Porsche Cayenne
GTS",Pfister Rayenne GS,Батл пасс,Батл пасс,,
159,,bacalar,"Bentley Mulliner
Bacalar",Enus Bakalar,Батл пасс,Батл пасс,,
160,,fxxk,Ferrari FXX-K,Grotti FSS-K,Батл пасс,Батл пасс,,
161,,aeroboat,"Rolls-Royce
Aeroboat V12",Enus Airboat V12,Батл пасс,Батл пасс,,
162,,terzo,"Lamborghini
Terzo Millennio",Pegassi Tenzo,Батл пасс,Батл пасс,,
163,,ec135,"Eurocopter
EC135
Gendarmerie",Buckingham EK135,Батл пасс,Батл пасс,,
164,,l650,Sea Ray L650 Fly,Buckingham M650,Батл пасс,Батл пасс,,
165,,xc90,Volvo XC90,Vulcar CX90,Батл пасс,Батл пасс,,
166,,m3g81,"BMW M3 G81
Touring",Ubermacht W3 J81 Touring,Батл пасс,Батл пасс,,
167,,slr,"Mercedes-Benz
300 SLR",Benefactor 300 CLR,Батл пасс,Батл пасс,,
168,,giulia,Alfa Romeo Giulia,Lampadati Jiulia,Батл пасс,Батл пасс,,
169,,diavel,Ducati Diavel,Principe Diawel,Батл пасс,Батл пасс,,
170,,cls2,"Mercedes-Benz
CLS C257",Benefactor ZLS S257,Батл пасс,Батл пасс,,
171,,ab2,"Range Rover
Autobiography L460",Gallivanter AB L460,Батл пасс,Батл пасс,,
172,,400z,Nissan Z,Annis 400X,Батл пасс,Батл пасс,,
173,,hummer3,"GMC Hummer
EV 6x6",Mammoth Hammer EV 6x6,Батл пасс,Батл пасс,,
174,,sclass4,"Mercedes-Benz
S-Class Z223","Benefactor S-Series
 M223 LWB",Батл пасс,Батл пасс,,
175,,mc20,Maserati MC20,Lampadati MS20,Батл пасс,Батл пасс,,
176,,rrphantom2,"Rolls-Royce
Phantom Limosine",Enus Phantasm Limo,Батл пасс,Батл пасс,,
177,,revuelto,"Lamborghini
Revuelto",Pegassi Rewuelto,Батл пасс,Батл пасс,,
178,,mistral,Bugatti Mistral,Truffade Wistral,Батл пасс,Батл пасс,,
179,,ec120,"Eurocopter
EC150 Colibri","Buckingham
EK120",Батл пасс,Батл пасс,,
180,,xclass2,"Mercedes-Benz
X-Class BF",Benefactor X-Monster,Батл пасс,Батл пасс,,
181,,daytona,"Ferrari Daytona
SP3",Grotti Timucua,Батл пасс,Батл пасс,,
182,,xk,Buckingham XK,Buckingham XK,Батл пасс,Батл пасс,,
183,,lanzador,"Lamborghini
Lanzador",Pegassi Brocca,Батл пасс,Батл пасс,,
184,,purosangue,Ferrari Purosangue,Grotti Primogenito,Батл пасс,Батл пасс,,
185,,dbx,Aston-Martin DBX,Dewbauchee DPX,Батл пасс,Батл пасс,,
186,,ram2,Dodge RAM TRX,Bravado RUM RTX,Батл пасс,Батл пасс,,
187,,ix,BMW IX,Ubermacht lY,Батл пасс,Батл пасс,,
188,,eclass4,"Mercedes-Benz
E-Class S214
Estate","Benefactor E-Series
 C214 Estate",Батл пасс,Батл пасс,,
189,,polestar,Polestar One,Vulcar Solarstar 1,Батл пасс,Батл пасс,,
190,,mustang3,Ford Mustang S650,Vapid Steed C650,Батл пасс,Батл пасс,,
191,,m2g42,BMW M2 G87,Ubermacht 2-line J42,Батл пасс,Батл пасс,,
192,,r66,Robinson R66,Buckingham FDR-66,Батл пасс,Батл пасс,,
193,,cc850,Koenigsegg CC850,Entity Selip-850,Батл пасс,Батл пасс,,
194,,amggt2,"Mercedes-AMG
GT C192",Benefactor-ASG GS S192,Батл пасс,Батл пасс,,
195,,evija,Lotus Evija,Ocelot Aevij,Батл пасс,Батл пасс,,
196,,cybertruck,Tesla Cybertruck,Coil Alt-Truck,Батл пасс,Батл пасс,,
197,,macan2,Porsche Macan EV,Pfister Mauer EV,Батл пасс,Батл пасс,,
198,,air,Lucid Air,Coil Jenks,Батл пасс,Батл пасс,,
199,,rrs,"Range Rover Sport
L461",Gallivanter Gover I461,Батл пасс,Батл пасс,,
200,,lfa,Lexus LFA,Emperor FLA,Батл пасс,Батл пасс,,
201,,5series2,BMW 5-Series G61,Ubermacht 5-line J61,Батл пасс,Батл пасс,,
202,,d8,Donkervoort D8 GTO,Burgerfahrzeug T8 GTR,Батл пасс,Батл пасс,,
203,,bronco,Ford Bronco U725,Vapid Frey,Батл пасс,Батл пасс,,
204,,civic2,Honda Civic FK1,Dinka Hiroshi KF1,Батл пасс,Батл пасс,,
205,,ah6,"MD Helicopters 
AH-6 Little Bird",Buckingham HA-6,Батл пасс,Батл пасс,,
206,,snowmobile,"BRP Ski-Doo 
Sammit Rev-XM",Speedophile Snowshark,Батл пасс,Батл пасс,,
207,,tourbillon,Bugatti Tourbillon,Truffade Heyl,Батл пасс,Батл пасс,,
208,,temerario,"Lamborghini 
Temerario",Pegassi Mitja,Батл пасс,Батл пасс,,
209,,spectre,"Rolls-Royce 
Spectre",Enus Rosenthal,Батл пасс,Батл пасс,,
210,,roma,Ferrari Roma,Grotti Manzoni,Батл пасс,Батл пасс,,
211,,etron2,Audi Q8 e-tron,Obey O8 I-tron,Батл пасс,Батл пасс,,
212,,cle,"Mercedes-Benz 
CLE C236",Benefactor ZLE S236,Батл пасс,Батл пасс,,
213,,ex90,Volvo EX90,Vulcar XE90,Батл пасс,Батл пасс,,
214,,glc,"Mercedes-Benz 
GLC C254",Benefactor JLC S254,Батл пасс,Батл пасс,,
215,,model3,Tesla Model 3,Coil Line 3,Батл пасс,Батл пасс,,
216,,350z,Nissan 350Z,Annis 350X,Батл пасс,Батл пасс,,
217,,hummer,GMC Hummer EV,Mammoth Hammer EV,Кейсы,кейсы,,
218,,xm,BMW XM,Ubermacht YW,Кейсы,кейсы,,
219,,diablo,"Lamborghini
Diablo",Pegassi Devil,Кейсы,кейсы,,
220,,missionr,Porsche Mission R,Pfister Messiah,Кейсы,кейсы,,
221,,noire,"Bugatti La Voiture
 Noire",Truffade Blanche,Кейсы,кейсы,,
222,,valour,Aston Martin Valour,Dewbauchee Malicious,Кейсы,кейсы,,
223,,batur,"Bentley Mulliner 
Batur",Enus Bangli,Кейсы,кейсы,,
224,,sls,Mercedes-AMG SLS,Benefactor-ASG ZLS,Кейсы,кейсы,,
225,,xts,"Cadillac XTS
 Royale",Cavalcade XDS Limo,Кейсы,кейсы,,
226,,silverado,"Chevrolet Silverado 
T1XX",Declasse Tylemo,Кейсы,кейсы,,
227,,ct5,Cadillac CT5,Cavalcade CD5,Кейсы,кейсы,,
228,,defender,"Land Rover 
Defender",Gallivanter Runaway,Кейсы,кейсы,,
229,,eclass5,"Mercedes-Benz
 E-Class W212",Benefactor E-Series M212,Кейсы,кейсы,,
230,,5series3,BMW 5-series F10,Ubermacht 5-Line P10,Кейсы,кейсы,,
231,,cclass2,"Mercedes-Benz 
C-Class W203",Benefactor C-Series M203,Кейсы,кейсы,,
232,,a4,Audi A4 B5,Obey V4,Кейсы,кейсы,,
233,,astra,Opel Astra J GTC,Bollokan Rose GT,Кейсы,кейсы,,
234,,rio2,KIA Rio QB,Bollokan Rino QP,Кейсы,кейсы,,
235,,db5,Aston Martin DB5,Dewbauchee DP5,Ивент,Ивент,,
236,,charger3,Dodge Charger FF,Bravado Changer FF,Ивент,Ивент,,
237,,modelt,Ford Model T,Vapid Line T,Ивент,Ивент,,
238,,regalia,Regalia,Quartz Regalia,Ивент,Ивент,,
239,,turbor,"Quadra Turbo-R 
V-Tech",Quadra Turbo-R V-Tech,Ивент,Ивент,,
240,,m12b,,AMG M12B Warthog,Ивент,Ивент,,
241,,firebird,,Imponte KITT,Ивент,Ивент,,
242,,wrangler,,Canis JW,Ивент,Ивент,,
243,,utopia,Pagani Utopia,Pegassi Paradise,Кейсы,кейсы,,
244,,regera,"Koenigsegg
Regera",Entity RG-R,Кейсы,кейсы,,
245,,corvette2,"Chevrolet
Corvette C8",Declasse Covetto S8,Кейсы,кейсы,,
246,,escalade2,"Cadillac Escalade
GM T1XL",Cavalcade Excalibur MG,Кейсы,кейсы,,
247,,aclass2,"Mercedes-Benz
A-Class W177",Benefactor A-Series M177,Кейсы,кейсы,,
248,,nsx2,Honda NSX NA1,Dinka NSY NI1,Кейсы,кейсы,,
249,,gtr32,"Nissan Skyline
GT-R R32",Annis GS-R M32,Кейсы,кейсы,,
250,,charger2,Dodge Charger,Bravado Changer,Кейсы,кейсы,,
251,,190e,"Mercedes-Benz 
190 E",Benefactor 910 E,Кейсы,кейсы,,
252,,yz450f,Yamaha YZ 450 F,Shitzu ZY 450,Кейсы,кейсы,,
253,,q60s,Infiniti Q60S,Fathom Q60C,Кейсы,кейсы,,
254,,s2000,Honda S2000,Dinka C-2000,Кейсы,кейсы,,
255,,carrera,"Porsche
Carrera 911",Pfister Carcio,Кейсы,кейсы,,
256,,senna,McLaren Senna,Progen Ayrton,Кейсы,кейсы,,
257,,emira,Lotus Emira,Ocelot Remir,Кейсы,кейсы,,
258,,f1502,"Ford F-150
Raptor 6x6",Vapid P-150 Predator 6X6,Кейсы,кейсы,,
259,,db11,"Aston Martin
DB11",Dewbauchee DP11,Кейсы,кейсы,,
260,,brz,Subaru BRZ,Karin BRS-86,Кейсы,кейсы,,
261,,k5,KIA K5,Bollokan K-FIVE,Кейсы,кейсы,,
262,,eclipse,"Mitsubishi
Eclipse D30",Maibatsu Sunrise,Кейсы,кейсы,,
263,,victoria,"Ford Crown
Victoria",Vapid Coronet V,Кейсы,кейсы,,
264,,tecnomar,"Lamborghini
Tecnomar",Pegassi Viareggio,Кейсы,кейсы,,
265,,speedtail,McLaren Speedtail,Progen Alex,Кейсы,кейсы,,
266,,invencible,"Lamborghini
Invencible",Pegassi Borkert,Кейсы,кейсы,,
267,,j50,Ferrari J50,Grotti Flaman,Кейсы,кейсы,,
268,,victoria2,"Ford Crown
Victoria GT",Vapid Coronet V GT,Кейсы,кейсы,,
269,,huracan2,"Lamborghini
Huracan Spyder","Pegassi
Hurricane Spyder",Кейсы,кейсы,технические проблемы,
270,,sl,"Mercedes-AMG
SL R232",Benefactor-ASG CL P232,Кейсы,кейсы,,
271,,bentayga2,Bentley Bentayga II,Enus Benteygo GT,Кейсы,кейсы,,
272,,db112,"Aston Martin
DB11 Volante",Dewbauchee DP11 Cabrio,Кейсы,кейсы,,
273,,lc500,Lexus LC 500,Emperor CL 500,Кейсы,кейсы,,
274,,panamera2,"Porsche Panamera
G2 Sport Turismo","Pfister Paramena
J2 Touring",Кейсы,ДОНАТНЫЙ,,
275,,eqs,"Mercedes-Benz 
EQS",Benefactor IQS,Кейсы,кейсы,,
276,,levante,Maserati Levante,Lampadati Turin,Кейсы,кейсы,,
